U_74165	UBA448	GB_GCA_002503225.1
U_73663	UBA10991	
U_72996	UBA10714	GB_GCA_003513745.1
U_70273	UBA3517	GB_GCA_002377205.1
U_69485	UBA3101	GB_GCA_002365615.1
U_69233	UBA2923	GB_GCA_002349385.1
U_66762	UBA1424	GB_GCA_002329705.1
U_66219	UBA1089	GB_GCA_002314215.1
U_77110	UBA7418	GB_GCA_002469535.1
U_72192	UBA4619	GB_GCA_002386405.1
U_73462	UBA5277	GB_GCA_002411425.1
U_77805	UBA12475	
U_76541	UBA7174	GB_GCA_002491275.1
U_71917	UBA10340	GB_GCA_003485825.1
U_69690	UBA9389	
U_75396	UBA6473	GB_GCA_002436645.1
U_74354	UBA5815	GB_GCA_002417825.1
U_76823	UBA12051	GB_GCA_003484145.1
U_67334	UBA1738	GB_GCA_002315735.1
U_73713	UBA405	GB_GCA_002495365.1
U_75387	UBA6466	GB_GCA_002436785.1
U_76576	UBA7201	GB_GCA_002490745.1
U_66826	UBA8406	
U_73179	UBA10833	GB_GCA_003542715.1
U_77125	UBA7428	GB_GCA_002477625.1
U_68651	UBA9061	GB_GCA_003529845.1
U_73715	UBA5437	GB_GCA_002424405.1
U_68176	UBA8916	GB_GCA_003486745.1
U_68498	UBA2457	GB_GCA_002342405.1
U_74461	UBA5900	GB_GCA_002432395.1
